,Unnamed: 0,actual,predicted,text,label
144,144,0,3,"Congress OKs  #36;136B Corporate Tax-Cut Bill  - The Senate shipped President Bush a wide-ranging  #36;136 billion corporate tax-cut bill and a disaster aid package on Monday, letting lawmakers head home for the finale of the presidential and congressional campaigns.",0
149,149,3,2,"IAEA chief hopes Iran suspend enrichment process The International Atomic Energy Agency (IAEA) head, Mohammad ElBaradei, on Monday expressed his hope that suspension of uranium enrichment will be included in the preliminary Iran-EU agreement.",0
165,165,0,3,Nigerian Oil Delta Rebel Awaits 11th Hour Talks  ABUJA (Reuters) - A rebel fighting for autonomy in  Nigeria's oil-producing Niger Delta arrived in the capital for  talks with President Olusegun Obasanjo on Wednesday on terms to  end violence that helped to push crude prices to record highs.,0
169,169,2,0,"Spice Isle in ruins BRIDGETOWN, Barbados - There are reports that at least 12 people were killed and 90 per cent of all homes in Grenada have been destroyed by Hurricane Ivan which has left  incalculable destruction  in the Caribbean  #39;Isle of Spice #39;.",0
181,181,2,0,"Who's Behind the Gold Medalist's Mask? Gosh, an American! Mariel Zagunis crushed Tan Xue of China, 15-9, in the final of the women's saber Tuesday, earning the first American gold in a recognized fencing event.",0
186,186,2,0,"Koizumi Surveys Japan #39;s Earthquake Damage Prime Minister Junichiro Koizumi surveyed the earthquake damage in northern Japan on Tuesday, meeting people camped out in a high-school gymnasium after the nation #39;s ",0
205,205,2,3,One more feather in ISRO cap India #39;s exclusive satellite for educational services -- Edusat -- was successfully placed into the Geostationary Orbit (GSO) on Monday.,0
211,211,1,0,Sharon contacts Labor on govt coalition Israeli Prime Minister Ariel Sharon has approached the opposition Labor party with a tentative offer to join his coalition in hopes of avoiding early elections and saving his Gaza withdrawal plan.,0
231,231,2,3,"Blair: Labor will not buckle Tony Blair has said his Labor party will not cave in despite poor poll ratings, backbench revolts, and protests over hunting and the Iraq war.",0
238,238,2,0,"More PE Time May Fight Child Obesity Just an extra hour of exercise a week could significantly cut obesity among young overweight girls, according to a study that researchers say could lead to major changes in the way schools fight obesity.    The study - the largest look yet at obesity among young children - did not show the same results for boys, possibly because they generally get more exercise than girls...",0
240,240,0,2,Guantanamo terror hearing halted A US federal court halts proceedings at Guantanamo Bay against a former driver for Osama Bin Laden.,0
241,241,3,2,Hostage murder to hurt Koizumi JAPAN #39;S troop deployment in Iraq beyond December is at risk as Prime Minister Junichiro Koizumi braces for a wave of public anger over the nightmare ending to the country #39;s second Baghdad hostage crisis.,0
261,261,3,1,"Russia sends scientist to jail for spying A Russian court has sentenced a physicist Valentin Danilov to 14 years in a Siberian prison for passing space secrets to China. Danilov, 53, a professor at Krasnoyarsk ",0
266,266,0,1,The fate of Ken Bigley and the struggle against the occupation of ... The fate of British hostage Kenneth Bigley has come to encapsulate the unbridgeable division between the political establishment and the democratic hopes and concerns of working people.,0
275,275,2,3,"Dr. Phil Interviews President, First Lady  - President Bush says it's ""awfully difficult"" for parents to urge their children not to drink and drive if they do it themselves.",0
282,282,0,1,"Karzai Declared Winner of Afghan Election Incumbent Hamid Karzai is the official winner of last month #39;s historic Afghan presidential election, the body organizing the vote said on Wednesday.",0
283,283,2,3,"24 Feared Killed As Typhoon Meari Batters Japan Tokyo, Sept. 30 (NNN): At least 24 people have been killed or are missing after a powerful tropical storm struck south-western Japan.",0
300,300,3,0,Ex-Rwandan Officer Pleads Innocent  - A former senior Rwandan army officer pleaded innocent Monday before a U.N. tribunal to six counts of genocide and crimes against humanity for his alleged role in the 1994 Rwanda genocide.,0
301,301,3,1,Another arrest in van Gogh murder AMSTERDAM: Police have detained another suspect in relation to the killing of Dutch film-maker Theo van Gogh. They have also arrested two other men who are accused of calling for the beheading of an anti-immigration politician.,0
309,309,0,3,"Twin Car Bombs Explode in Baghdad, Killing at Least 10 A car bomb exploded near an entrance to Baghdad's Green Zone, killing at least 10 people and wounding 76. Less than an hour later, a second car bomb blew up near the Baghdad Hotel.",0
324,324,0,2,Bedouins held after Egypt blasts Egyptian security yesterday arrested dozens of Bedouin tribesmen amid continuing doubts over who was behind the devastating attacks on Israeli tourists that killed at least 34 people.,0
330,330,3,2,"How many planets are there, Indian president asks South African students  - South African students at a high school in a township outside Durban were treated to a special science lesson delivered by Indian President Abdul Kalam.",0
351,351,3,2,"EU Commission to Bless Turkish Membership Bid  - The European Commission was set to\recommend on Wednesday that Turkey start accession talks with\the European Union, finally unveiling its watershed decision\after 40 years of on-again, off-again talks.",0
360,360,0,1,"Roadmap despite the K-roadblock NEW DELHI, SEPTEMBER 6: India and Pakistan today committed themselves to a slow but sustained process to keep the dialogue going, in which New Delhi for the first time accepted the viability of an overland gas pipeline through Pakistan, and Islamabad ",0
379,379,3,2,Freed Anwar Maneuvers to Re-Enter Politics  - Former Deputy Prime Minister Anwar Ibrahim savored his first full day of freedom in six years Friday after his dramatic release from prison and he tested the waters for a comeback in Malaysian politics.,0
388,388,0,1,"Nigerian Oil Delta Rebels Say 'War' to Start Oct 1  LAGOS (Reuters) - The Nigerian rebel group fighting  government troops in the oil-rich Niger delta said on Monday it  will launch ""all-out war on the Nigerian state"" from Oct. 1 and  advised all oil companies to shut production by then.",0
391,391,2,3,Croatia PM makes key Serbia visit Croatian Prime Minister Ivo Sanader is in Serbia - the first such visit since the war between the two former Yugoslav republics ended almost a decade ago.,0
397,397,0,2,"Report: Blair Recovering Well After Heart Operation  LONDON (Reuters) - British Prime Minister Tony Blair has  had a successful operation for recurrent heart palpitations and  is ""doing well,"" Sky TV reported Friday.",0
420,420,2,3,Chile makes final ruling: Pinochet can stand trial The former Chilean dictator Augusto Pinochet yesterday lost what could be the final round in his tortuous struggle to avoid prosecution for human rights abuses.,0
429,429,0,1,"Zawahri Tape Urges Resistance to 'Crusaders'  - An audio tape said to be from senior al\Qaeda official Ayman al-Zawahri called for organized resistance\against invading ""crusaders"" in the Muslim world and especially\attacks against Israel's ally the United States.",0
444,444,3,2,"Taiwan Urges China to Begin Peace Talks President Chen Shui-bian of Taiwan, in a conciliatory gesture aimed at China's newly consolidated leadership, proposed a fresh start Sunday on long-suspended talks to improve relations and lower tension across the Taiwan Strait.",0
474,474,3,0,"Magnitude 4.6 Quake Jolts Japan #39;s Northern Island of Hokkaido An earthquake with a preliminary magnitude of 7 hit Japan #39;s northern island of Hokkaido early this morning, causing injuries and triggering a tsunami warning.",0
483,483,2,1,Earthquake Weighs Heavily on Tokyo Stocks  - Tokyo stocks ended sharply lower Monday due to economic uncertainties following powerful earthquakes that hit northern Japan over the weekend. The dollar was lower against the Japanese yen.,0
485,485,0,2,"Four held after  #39;sting #39; uncovers alleged dirty bomb conspiracy Four men have been arrested on suspicion of terrorist offences following a sting operation organised by a Sunday newspaper, police said last night.",0
493,493,0,2,"Hostage takers say end headscarf ban Jazeera identified the hostages as reporters George Malbrunot and Christian Chesnot. Last week, the French Foreign Ministry. said the two men had gone missing in Iraq.",0
500,500,3,2,"U.S. Public Now Evenly Split on Iraq War  - Nine months of chaos and casualties in Iraq since Saddam Hussein's capture have taken a heavy toll on American opinion of President Bush's decision to go to war. Last December, when Saddam was caught, public support for Bush was 2-to-1 in favor. Now the public is evenly divided on whether the war was the right thing to do or whether it was a mistake.",0
502,502,0,3,"Israeli Missile Strike Kills Hamas Leader An Israeli airstrike in Gaza City tonight killed a leading Hamas weapons maker who was responsible for some of the group #39;s most powerful bombs and its homemade rockets, Israel #39;s military said.",0
511,511,2,3,"Europeans To Make Iran  #39;Last Offer #39; On Nukes 20 October 2004 -- Great Britain, France, and Germany will reportedly offer Iran a last chance to avoid the threat of United Nations sanctions over its nuclear program.",0
517,517,2,3,"Kurds say changes merely gesture by Turkey for EU ILICA, Turkey -- For the past nine years, Osman Acar, his two wives, and 22 children have spent most nights inside an 18-by-15-foot tent pitched outside this remote village in the mountains separating Turkey from Iraq.",0
518,518,3,2,"Diplomats: Europeans, U.S. Closer to Iran Nuke Deal  VIENNA (Reuters) - U.S. and European negotiators moved  closer to a deal on a resolution on Iran's nuclear program that  could trigger a November showdown, Western diplomats close to  the talks said Wednesday.",0
542,542,3,2,"Russian Capsule Docks With Space Station KOROLYOV, Russia - A Soyu z spacecraft carrying two cosmonauts and an American astronaut docked smoothly Saturday at the international space station, where another Russian-U.S. team has spent the last six months...",0
544,544,3,0,"Finucane Killer Could Be Free in Eight Months Pat Finucanes killer expects to be a free man by next May despite a judge jailing him today for a minimum of 22 years. Loyalist assassin Ken Barrett, 41, is expected ",0
564,564,2,3,Group threatens to kill hostages Arab TV channel al-Jazeera shows footage of what it says are three Western hostages kidnapped this week.,0
568,568,0,1,"Next President Could Get to Reshape High Court  - The winner of the presidential\election could reshape the Supreme Court and could have a\long-lasting impact on important issues such as abortion, gay\marriages and church-state separation.",0
579,579,0,2,US Group Urges Rumsfeld War Crimes Probe in Germany A US human rights group urged German prosecutors Tuesday to investigate accusations that Defense Secretary Donald Rumsfeld and senior US officers are guilty of war crimes over the Iraqi prisoner abuse scandal.,0
591,591,0,3,Mugabe rival urges reconciliation Zimbabwe opposition leader Morgan Tsvangirai says his treason acquittal could help heal deep political divisions.,0
594,594,0,2,US takes stock of Hurricane Ivan US authorities begin relief operations as south-eastern states continue to assess Hurricane Ivan's impact.,0
596,596,2,0,"Allawi urges world to help Iraq Iraq's interim PM Iyad Allawi appeals to world leaders at the UN to help Iraq ""defeat the forces of terrorism"".",0
597,597,2,3,"Man held over China school deaths A man has been arrested in connection with the deaths of eight boys stabbed as they slept in a dormitory, Chinese officials have said.",0
599,599,3,2,"Israelis Fire Missile at Gaza Refugee Camp An Israeli aircraft fired a missile Sunday at a Palestinian target in Gaza #39;s Jebaliya refugee camp, witnesses said. Ambulances rushed to the scene, but it was not ",0
613,613,3,2,"Sudan criticised over Janjaweed Sudan is allowing armed pro-government groups to operate at least 16 militia camps in the western region of Darfur, a human rights group claims.",0
621,621,2,3,"Explosion in Chinese mine kills 56 AP - A gas explosion in a coal mine in China has killed at least 56 miners, and 92 others listed as missing had only a slim chance of survival, officials say.",0
624,624,3,0,"Manila Appeals for Storm Relief; Weather Improves  REAL, Philippines (Reuters) - The Philippines put the toll  at more than 1,000 dead or missing in four storms in two weeks  but, even with a break in the weather on Saturday, relief  supplies were running short and fears of disease were  spreading.",0
635,635,2,0,"Hamm Goes for More Gold Amid Controversy ATHENS, Greece - Despite the controversy surrounding his gold medal in the all-around, Paul Hamm has a chance to win two more golds Sunday. The American will compete in the finals of the pommel horse and the floor exercise - the latter against his twin brother, Morgan...",0
637,637,0,3,"Lebanon PM Resigns, Says Will Not Head New Govt.  BEIRUT (Reuters) - Lebanon's Prime Minister Rafik al-Hariri  submitted his cabinet's resignation Wednesday and said he would  not form a new government.",0
643,643,3,2,"Indonesia's Megawati Apologizes, Warns on Terror  JAKARTA (Reuters) - President Megawati Sukarnoputri urged  Indonesians on Thursday to accept the results of the country's  first direct election of a leader, but stopped short of  conceding defeat.",0
650,650,3,2,"Swedes Gather in Memory of Anna Lindh The terrorist events in the US werent the only unhappy birthdays to be remembered on Sept. 11. A year ago, Swedish Foreign Minister Anna Lindh was stabbed to death in a department store as horrified shoppers watched.",0
653,653,3,2,"Bin Laden Still At Large 3 Years After US Attacks The US-led anti-terrorism coalition is still hunting terror mastermind Osama bin Laden, the chief suspect in the September 11, 2001 deadly attacks on US cities.",0
658,658,3,2,Musharraf takes Blair into confidence LONDON: President General Pervez Musharraf has succeeded in persuading British Prime Minister Tony Blair about the severity of Kashmir and Palestine disputes.,0
661,661,2,3,"Diplomats: Iran Uranium Dispute Resolved  - Iran and European negotiators have apparently salvaged a deal committing Tehran to freezing all parts of a program that can make nuclear-weapons grade uranium, diplomats said Friday.",0
663,663,0,3,"Asian countries pledge closer cooperation in fighting against ... Senior diplomats of 17 Asian governments Friday adopted a Catalogue of Confidence Building Measures, declaring their intention to promote closer cooperation in the fight against international terrorism.",0
666,666,0,3,Palestinians Pick Up Pieces After Israeli Offensive Palestinians picked over the rubble of more than two weeks of fighting in a refugee camp on Saturday after Israeli tanks quit northern Gaza to end a crushing offensive.,0
667,667,2,3," #39;Security Council can #39;t be eroded #39; NEW DELHI: Russian president Vladimir Putin has, in one pithy paragraph, poured cold water on India #39;s hopes of making it as a card-carrying member of a reformed UN Security Council.",0
681,681,1,3,"Iraq captors repeat Bigley tactics British-Iraqi aid worker Margaret Hassan #39;s captors have released a tape of her pleading for Tony Blair to save her life, repeating a tactic used with political effect in the case of slain hostage Kenneth Bigley.",0
687,687,2,3,"UN: Chad Could See More Darfur Refugees GENEVA Aug. 20, 2004  Tens of thousands more refugees might flee Sudan #39;s Darfur region into neighboring Chad because of persistent attacks and rapes by Arab militias, the United Nations said Friday. ",0
702,702,3,2,Gay Marriage Issue Motivates Conservatives  - Gay marriage is emerging as a big enough issue in several states to influence races both for Congress and the presidency.,0
708,708,2,3,North Korea Says South #39;s Navy Staged Provocation North Korea accused the South #39;s navy on Tuesday of staging a grave provocation that could lead to a maritime skirmish after South Korean patrol boats fired warning shots to repel navy vessels from the North.,0
726,726,2,0,"Schumacher Storms to Sixth Japanese F1 Win  By Alastair Himmer SUZUKA, Japan (Reuters) - Ferrari's Michael Schumacherpowered to an easy victory in the Japanese Grand Prix on Sundayfor his 13th win of the season.",0
731,731,3,1,"In Video Message, Bin Laden Issues Warning to U.S. Osama bin Laden said that the best way for the U.S. to avoid a repeat of 9/11 was to stop threatening Muslims' security.",0
732,732,3,2,Japan Scrambles After Report Asian Body Found in Iraq  TOKYO (Reuters) - Japan scrambled on Friday to check a  report that an Asian body had been found in Iraq after a  deadline expired for the beheading of a Japanese man whose  captors had demanded that Tokyo withdraw its troops.,0
749,749,0,2,McLellan defends Martin against questions on his attitude to health care (Canadian Press) Canadian Press - OTTAWA  (CP) - Liberal cabinet ministers are coming to the defence of Prime  Minister Paul Martin over revelations from a book written by Sheila Copps.,0
755,755,2,0,Brazilian Soldier Wounded in Haiti Unrest A Brazilian soldier with the UN peacekeeping force in Haiti was shot and wounded Saturday when peacekeepers and local police faced gunfire in a crackdown on armed gangs in the Haitian capital.,0
760,760,0,2,"Top Hamas Militant Killed in Israeli Missile Strike  GAZA (Reuters) - A senior leader of Hamas's military wing  was killed in an Israeli missile strike on his car in the Gaza  Strip, Palestinian witnesses said.",0
767,767,2,3,"U.S.-Led Forces Thrust Towards Central Falluja  FALLUJA, Iraq (Reuters) - U.S.-led forces thrust at least  one km (half a mile) into rebel-held Falluja on Tuesday and  were not far from the Iraqi city's heart, residents and an  Iraqi army officer said.",0
771,771,3,2,"Nobody Blinked It is easy to feel disappointed by the outcome, or the lack thereof, of the first meeting of the foreign ministers of India and Pakistan after the signing of the historic Islamabad declaration in January.",0
773,773,0,1,"Japanese youths' rage fuels wave of violent crime SASEBO, Japan -- On a cloudless afternoon in this sleepy port city, an 11-year-old girl drenched in blood and clutching a box cutter walked into the lunchroom at her elementary school. Teachers and students froze, assuming the sixth-grader known for her lighthearted nature had gravely hurt herself -- but she quickly dispelled that impression, witnesses said, by uttering a few ...",0
780,780,0,1,"PM advised complete rest today New Delhi, Aug. 29 (UNI): Prime Minister Manmohan Singh, who was indisposed yesterday, due to viral fever, is taking complete rest today, a PM #39;s aide said.",0
782,782,0,1,"21 Iraqi guardsmen were kille Around 200 fighters stormed a police station in Haditha, west of Baghdad, and another smaller station in the nearby village of Haqlaniya.",0
800,800,0,2,Islamic group posts alleged pictures of Nepalese abducted in Iraq  - An Islamic militant group published on a website the alleged pictures of twelve Nepalese citizens whom it said it had abducted for cooperating with US forces in Iraq.,0
810,810,0,2,"Space Capsule Crashes in Utah The Genesis space capsule, which promised scientists potential clues to the origin of the solar system, crashed to Earth today.",0
815,815,0,2,"Powell begins visit to Mideast The US Secretary of State, Colin Powell, has arrived in the Israeli city of Tel Aviv as part of an attempt to revive the Middle East peace process.",0
820,820,3,2,"Bush Rhetoric Becoming More Aggressive CRAWFORD, Texas - President Bush is launching a focus on Western battlegrounds with no sign that the biting rhetoric he has aimed at Democratic challenger John Kerry in recent days is as aggressive as it's going to get.    Bush spent one day off the campaign trail, relaxing on Sunday at his central Texas ranch and engaging in informal preparations for the final debate before Election Day - Wednesday in Tempe, Ariz...",0
834,834,3,0,"Powell rebukes Annan on Iraq Secretary of State Colin L. Powell yesterday expressed strong disapproval of UN Secretary-General Kofi Annan #39;s description of the US-led war in Iraq as illegal, saying the comment was  not a very useful statement to make at this point.",0
836,836,0,3,"UPI NewsTrack TopNews President Bush used his weekly radio address Saturday to urge passage of recommendations by the 9/11 commission, so he can sign them into law by Election Day.",0
868,868,2,0,"Haiti Storm Death Toll Could Reach 2,000 Hungry, thirsty and increasingly desperate residents attacked each other in a panic to get scarce food and water Thursday as workers struggled to bury hundreds of corpses six days after the city was struck by Tropical Storm Jeanne.",0
869,869,2,3,At least 300 die in floods as Typhoon Winnie hits Philippines MORE than 300 people died and at least 150 remained missing after flash floods and landslides devastated three coastal towns and left swathes of the northern Philippines under water yesterday.,0
883,883,2,3,"Bush senior: US will work with Blair on Mideast Prime Minister Tony Blair #39;s call for a new Mideast peace push  was heard loud and clear in Washington,  former US President George HW Bush said in comments broadcast Sunday.",0
888,888,0,3,"Kenya Anti-Graft Chief Resigns The chairman of Kenya #39;s Anti-Corruption Advisory Board has resigned, accusing President Mwai Kibaki of interfering in the board #39;s work.",0
890,890,3,2,"Suicide bombs and rebel attacks as disillusioned Chechnya votes THEIR previous leader was assassinated in a bomb blast, scores of their fellow countrymen have been killed this month and yesterday it was confirmed that terrorist explosives were responsible for downing a civilian aircraft last week.",0
891,891,3,2,Italy calls time on Libya embargo Italian Interior Minister Giuseppe Pisanu says Italy is ready to lift EU sanctions on Libya unilaterally if the whole EU fails to do so next week.,0
892,892,2,3,Cricket: SA rock England  England are reduced to 95-4 in reply to South Africa's 441 in the third Test in Cape Town.,0
902,902,2,3,"Courtney Love Pleads Innocent to Assault LOS ANGELES - Courtney Love pleaded innocent Friday to a felony assault charge for allegedly attacking a woman with a liquor bottle at her ex-boyfriend's home in April.    The mercurial rocker, wearing a long black dress, was composed in court, responding to Los Angeles Superior Court Commissioner Dennis Mulcahy's questions with ""yes"" or ""no."" Outside, she appeared shaken while talking with reporters...",0
913,913,1,2,"Lawyers file Abu Ghraib complaint BERLIN -- A group of American civil rights lawyers filed a criminal complaint in a German court yesterday against top US officials, including Defense Secretary Donald H. Rumsfeld, for acts of torture committed at Abu Ghraib prison in Iraq.",0
917,917,2,3,"Volkswagen Says  #39;No Room #39; for Wage Hikes FRANKFURT, Germany Aug. 23, 2004 - Automaker Volkswagen said Monday there is  no room  for wage increases this year as it prepares for pay talks with Germany #39;s largest industrial union.",0
934,934,0,1,"Pakistanis Arrest More Militant Suspects Pakistani forces following up on a raid that killed a top al-Qaida fugitive arrested four more suspected extremists Monday, while the US Embassy warned that security constraints ",0
937,937,2,3,Ramirez OK After Fouling Ball Off Knee The most satisfying images from the Boston Red Sox's latest win are the X-rays of Manny Ramirez's knee. The Boston slugger fouled a ball off his knee in the fourth inning of the Red Sox's 5-3 home victory over the Detroit Tigers on Friday night...,0
946,946,3,0,Ethiopia Ally Elected Somali President  NAIROBI (Reuters) - Ethiopian-backed warlord Abdullahi  Yusuf was elected Somali president by lawmakers on Sunday in  the 14th attempt in a decade to restore government to the  lawless African country.,0
949,949,0,2,"Red Sox Rally Past Yankees in Ninth NEW YORK - The way the Boston Red Sox are playing these days, nothing seems to be able to stop them. Not even Mariano Rivera...",0
954,954,2,3,Pakistan: at least 36 people died in suicide car bomb attack Car detonated at a rally in the city of Multan when people had gathered to commemorate first anniversary of the assassination of extremist Sunni religious leader Azam Tariq.,0
955,955,0,3,"Bomb at India Independence Parade Kills 15  - A bomb exploded during an Independence Day parade in India's remote northeast Sunday, killing at least 15 people, including schoolchildren, while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said.",0
960,960,3,2,"Detroit 'African Town' Plan Stirs Debate  - Detroit has a Greektown section that tempts visitors with moussaka and baklava, and a Mexicantown neighborhood with Latin American groceries and restaurants. Now, politicians are pushing for a business district identified with the city's biggest minority group  #151; blacks.",0
961,961,2,3,"Sudan, Rebels to Sign Partial Peace Pact  - The Sudanese government and rebel representatives signed accords Tuesday aimed at ending hostilities in the troubled western region of Darfur and guaranteeing aid groups access to 1.6 million civilians uprooted by the conflict.",0
965,965,0,2,"Christmas Cracker In its first reaction to rebel warnings to return to their  freedom struggle  unless the 19-month impasse in peace talks was ended by Colombo, the government said the rebel position was unacceptable.",0
967,967,3,0,"Opposition in Ukraine eases siege KIEV -- Opposition protesters began to lift their two-week siege of Ukraine's Stalin-era Cabinet headquarters yesterday, a day after parliament adopted electoral laws to ensure a fair ballot in the repeat presidential runoff.",0
994,994,3,0,"Machine Error Gives Bush Extra Ohio Votes  - An error with an electronic voting system gave President Bush 3,893 extra votes in suburban Columbus, elections officials said.",0
1019,1019,3,2,Effort to Train New Iraqi Army Is Facing Delays The military command in charge of training Iraqi forces has fewer than half of its permanent headquarters personnel in place.,0
1023,1023,2,3,Israel to consider releasing Palestinian prisoners Israel says it #39;s considering releasing some Palestinian prisoners -- as part of a deal in which Egypt has freed an Israeli Arab man convicted of spying.,0
1026,1026,0,3,Charity helping teachers to teach children about tsunami in southeast Asia (Canadian Press) Canadian Press - TORONTO (CP) - A charitable group for children is sending information kits to teachers across Canada to assist them in helping students understand the effects of tsunamis in southeast Asia that have inundated the world with haunting images of grief and destruction.,0
1029,1029,2,3,UK PM to undergo heart treatment Tony Blair is to be admitted to hospital on Friday  for a procedure to correct a heart problem.,0
1040,1040,2,0,"Beijing to Install Condom Machines to Fight AIDS  - Beijing will install about 1,000 condom\vending machines in hotels, bars, universities and on\construction sites in the Chinese capital this month to fight\the spread of AIDS, the official Xinhua news agency said on\Sunday.",0
1062,1062,1,3,"Sixteen die in Nepal bus plunge At least 16 people are killed as a bus plunges into a river in central Nepal, police say.",0
1099,1099,0,1,"France to Punish Police for Bungled Bomb Exercise  - France's police minister vowed on Monday\to punish officers who planted explosives in an unwitting plane\passenger's luggage to test their sniffer dogs but then lost\the ""bomb,"" which remains missing after a three-day hunt.",0
1111,1111,2,3,Israel to release prisoners in gesture to Egypt and Palestinians The Israeli Cabinet agreed in principle on Sunday to release scores of Palestinian prisoners as a gesture to Egypt and Palestinian officials in the run ,0
1114,1114,2,3,Ukrainian Government Blamed for Poisoning Opposition leader Viktor Yushchenko said Thursday that he was sure he was poisoned by the Ukrainian government after a Sept. 5 dinner with the head of the country's security service.,0
1122,1122,2,3,Last of Chinas old guard cedes military Hu Jintao became China #39;s undisputed leader yesterday as the world #39;s most populous nation completed its first orderly transfer of power in the communist era.,0
1125,1125,3,0,Political correctness gone mad The decision by the European Parliament #39;s Civil Liberties Committee to reject the nomination of Rocco Buttiglione as European Commissioner for Justice and Security over his comments on homosexuality and marriage is very unfortunate.,0
1127,1127,2,3,EU extends ban on Asian poultry imports The European Union said Wednesday it had extended a ban on imports of chicken meat and pet birds from several Asian countries hit by avian flu to March 31 next year.,0
1132,1132,0,2,"MEPs reject candidate who called gays sinful Jos Manuel Barroso, the incoming European commission president, was under strong pressure last night to dump Rocco Buttiglione, a professed opponent of women #39;s and gay rights, as the next commissioner for justice and security, after the European ",0
1141,1141,1,0,"22 dead afrter ship carrying illegal immigrants capsizes A boat carrying would-be immigrants to Italy capsized in the Mediterranean, killing at least 22 people and leaving dozens more missing.",0
1147,1147,2,3,"Big fall in corruption in Kenya The Kenyan government's campaign to tackle corruption is having an impact, says Transparency International.",0
1152,1152,0,2,"British death toll from tsunami could approach 200: foreign secretary  - Forty Britons have died in the Indian Ocean tsunami disaster and 159 others were missing and ""highly likely"" to have died, Foreign Secretary Jack Straw said, suggesting the death toll could approach 200.",0
1154,1154,2,3,"Hardliners Appeal to Israeli Soldiers JERUSALEM Sept. 9, 2004 - A group of prominent Israeli hardliners urged soldiers Thursday to disobey orders to dismantle Jewish settlements, widening the bitter divisions over Prime Minister Ariel Sharon #39;s ",0
1180,1180,0,2,"Exit Shinui The moment after Shinui achieved its meteoric achievement of 15 Knesset seats, the question was: Can the party make the transition from a one-issue, one-election wonder to one of the top two national parties?",0
1184,1184,0,3,"AP-Ipsos Election Poll Questions  - The Associated Press-Ipsos poll on the election results and President Bush's second term is based on telephone interviews with 1,000 adults, including 844 registered voters from all states except Alaska and Hawaii. The interviews were conducted Nov. 3-5 by Ipsos-Public Affairs.",0
1269,1269,3,2,"Bodies of Two Westerners Found South of Baghdad  BAGHDAD (Reuters) - Iraqi police have found the bodies of a  man and a woman, both believed to be Westerners, south of  Baghdad, the director of the hospital that received the corpses  said on Sunday.",0
